count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,active_ingredient_12,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13
398_2022-12-28,Аскорил Экспекторант сироп флакон 200мл,2022-12-28,"['Коклюш', 'Мокрота', 'Эмфизема', 'Туберкулез органов дыхания, подтвержденный бактериологически и гистологически', 'Острый ларинготрахеит']","['Бромгексин', 'Гвайфенезин', 'Сальбутамол']","['Профилактика простуды и гриппа', 'Кашель', 'влажный кашель', 'микстура от кашля']",['Аскорил'],['Glenmark Pharmaceuticals Ltd\n/Гленмарк Фармасьютикалз Лтд'],['Индия'],['Сироп для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Бромгексин+Гвайфенезин+Сальбутамол'],['4мг+100мг+2мг'],['Муколитические и отхаркивающие средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399_2022-12-28,"Риномарис спрей назальный 0,05% флакон 15мл",2022-12-28,"['Гнойный и неуточненный средний отит', 'Воспаление и закупорка слуховой [евстахиевой] трубы', 'Острый назофарингит [насморк]', 'Острый синусит', 'Аллергический ринит, вызванный пыльцой растений']",['Ксилометазолин'],"['Домашняя аптечка', 'Аптечка путешественника', 'Профилактика простуды и гриппа', 'Сопли', 'Коронавирус', 'спрей от насморка', 'спрей для носа']",['Риномарис'],['Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий'],['Хорватия'],['Спрей назальный'],['Без рецепта'],['Не выше 25 С'],['Ксилометазолин'],['0.05%'],['Средства от насморка'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400_2022-12-28,Бронхо-Дозин со вкусом Малины пастилки №24,2022-12-28,"['Острый фарингит', 'Острый тонзиллит', 'Хронический фарингит', 'Хронический тонзиллит', 'Другие уточненные профилактические меры']","['Ментол', 'Эвкалипта экстракт', 'Эмблики эк-т', 'Экстракт корня имбиря', 'Экстракт корня солодки голой']",[],['Бронхо-Дозин'],['Принц Супплико/Prince Supplico'],['Индия'],['Пастилки'],['Без рецепта'],['Не выше 25 С'],['Ментол+Эвкалипта экстракт+Экстракт корня солодки голой+Эмблики эк-т+Экстракт корня имбиря'],['Отсутствует'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401_2022-12-28,Пантопразол таблетки 40мг №28,2022-12-28,"['Изжога', 'Гастроэзофагеальный рефлюкс', 'Гастроэзофагеальный рефлюкс с эзофагитом', 'Язва желудка', 'Язва двенадцатиперстной кишки']",['Пантопразол'],[],['Пантопразол'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Пантопразол'],['40мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402_2022-12-28,Висмута трикалия дицитрат таблетки 120мг №112,2022-12-28,[],['Висмута трикалия дицитрат'],[],['Висмута трикалия дицитрат'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Висмута трикалия дицитрат'],['120мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403_2022-12-28,"Адиарин Регидрокомплекс саше 4,3г №10",2022-12-28,[],"['Декстроза', 'Калия хлорид', 'Натрия хлорид', 'Натрия цитрат']",[],['Адиарин Регидро'],['Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий'],['Швейцария'],['Саше'],[],['Не выше 25 С'],['Декстроза+Калия хлорид+Натрия хлорид+Натрия цитрат'],['2.82г+0.157г+0.339г+0.003г'],['Прочие средства в гастроэнтерологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404_2022-12-28,Хофитол раствор для приема внутрь флакон 120мл,2022-12-28,"['Хроническая почечная недостаточность', 'Холецистит', 'Хронический вирусный гепатит B без дельта-агента', 'Хронический вирусный гепатит C', 'Хронический гепатит, не классифицированный в других рубриках']",['Артишока экстракт'],[],['Хофитол'],['Rosa-Phytopharma Lab./ Роза-Фитофарм'],['Франция'],['Раствор для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Артишока экстракт'],['20г'],['Желчегонные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405_2022-12-28,Белластезин таблетки №10,2022-12-28,"['Гастрит и дуоденит', 'Желчнокаменная болезнь [холелитиаз]', 'Другие и неуточненные боли в области живота']","['Белладонны экстракт', 'Бензокаин']",[],['Белластезин'],"['ОАО ""Татхимфармпрепараты""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Белладонны экстракт+Бензокаин'],['15мг+300мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406_2022-12-28,Орцепол ВМ таблетки №10,2022-12-28,"['Цистит', 'Острый перитонит', 'Острый холецистит', 'Хронический холецистит', 'Холангит']","['Орнидазол', 'Ципрофлоксацин']",[],['Орцепол ВМ'],['World Medicine Ilac San. ve Tic. A.S./Уорлд Медицин Илач Сан. ве Тидж. А.Ш.'],['Турция'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Ципрофлоксацин+Орнидазол'],['500мг+500мг'],['Противопротозойные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407_2022-12-28,Холосас сироп флакон 300г (215мл),2022-12-28,['Холецистит'],['Шиповника плодов экстракт'],[],['Холосас'],"['ЗАО ""Алтайвитамины""']",['Россия'],['Сироп для приема внутрь'],['Без рецепта'],['8-15 С'],['Шиповника плодов экстракт'],['40г'],['Желчегонные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408_2022-12-28,Адеметионин таблетки 400мг №40,2022-12-28,"['Острый гепатит A', 'Острый гепатит B', 'Острый гепатит C', 'Хронический вирусный гепатит B без дельта-агента', 'Хронический вирусный гепатит C']",['Адеметионин'],['выгодно два'],['Адеметионин'],"['ООО ""Велфарм""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Адеметионин'],['400мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409_2022-12-28,Хайрабезол таблетки 20мг №30,2022-12-28,"['Эзофагит', 'Изжога', 'Другие уточненные нарушения внутренней секреции поджелудочной железы', 'Гастроэзофагеальный рефлюкс', 'Язва желудка']",['Рабепразол'],[],['Хайрабезол'],['HIGlance Lab.Pvt/Хайгланс Лаб.'],['Индия'],['Таблетки'],['Рецептурный'],['8-25 С'],['Рабепразол'],['20мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410_2022-12-28,Гепа комплекс Артишок Премиум 300мг таблетки №60,2022-12-28,[],['Артишока экстракт'],"['Хофитол', 'Doppelherz aktiv', 'Доппельгерц', 'для печени']",['Гепа комплекс'],"['ООО ""Квадрат С""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Артишока экстракт'],['300мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411_2022-12-28,Фитомуцил Норм банка 250г,2022-12-28,"['Запор', 'Синдром раздраженного кишечника', 'Трещина и свищ области заднего прохода и прямой кишки', 'Другие уточненные болезни кишечника', 'Геморрой и перианальный венозный тромбоз']","['Подорожника овального семян оболочка/шелуха (Псиллиум)', 'Экстракт сливы домашней']",['Домашняя аптечка'],['Фитомуцил Норм'],['Pharmamed/West Coast Lab/ Фармамед'],['Великобритания'],['Порошок для приготовления раствора для внутреннего применения'],['Без рецепта'],['Не выше 20 С'],['Подорожника овального семян оболочка/шелуха (Псиллиум)+Экстракт сливы домашней'],['4.5г+0.5г'],['Слабительные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412_2022-12-28,Мебеверин таблетки 135мг №50,2022-12-28,"['Запор', 'Синдром раздраженного кишечника', 'Функциональная диарея', 'Другие уточненные функциональные кишечные нарушения', 'Другие и неуточненные боли в области живота']",['Мебеверин'],[],['Мебеверин'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Мебеверин'],['135мг'],['Миотропные спазмолитики'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413_2022-12-28,Урцевел капсулы 250мг №100,2022-12-28,"['Острый гепатит A', 'Острый гепатит B', 'Острый гепатит C', 'Кистозный фиброз', 'Гастроэзофагеальный рефлюкс с эзофагитом']",['Урсодезоксихолевая кислота'],['Лекарства для печени'],['Урцевел'],"['ООО ""Велфарм""']",['Россия'],['Капсулы для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Урсодезоксихолевая кислота'],['250мг'],['Гепатопротекторы'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414_2022-12-28,Рабепразол капсулы 10мг №28,2022-12-28,"['Эзофагит', 'Изжога', 'Другие уточненные нарушения внутренней секреции поджелудочной железы', 'Гастроэзофагеальный рефлюкс', 'Гастроэзофагеальный рефлюкс с эзофагитом']",['Рабепразол'],[],['Рабепразол'],"['ЗАО ""Северная Звезда""']",['Россия'],['Капсулы для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Рабепразол'],['10мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415_2022-12-28,Алесорб Энтеросорбент Гель+ без вкуса пакет 10г №18,2022-12-28,[],"['Диоксид кремния', 'Янтарная к-та']","['полисорб', 'домашняя аптечка']",['Алесорб'],"['ООО ""Фармацевтическая Фабрика"" Пенза']",['Россия'],['Гель для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Янтарная к-та+Диоксид кремния'],['Отсутствует'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416_2022-12-28,Алоэ сок флакон 50мл,2022-12-28,"['Запор', 'Воспалительные болезни предстательной железы', 'Воспалительная болезнь шейки матки', 'Другие воспалительные болезни влагалища и вульвы']",['Экстракт алоэ'],[],['Алоэ сок'],"['ЗАО ""Вифитех""']",['Россия'],['Сок'],['Без рецепта'],['8-15 С'],['Экстракт алоэ'],['80мл'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417_2022-12-28,Постеризан мазь ректальная 25г,2022-12-28,"['Трещина и свищ области заднего прохода и прямой кишки', 'Аногенитальный зуд неуточненный', 'Другой уточненный дерматит', 'Геморрой и перианальный венозный тромбоз']",['Компоненты клеточной оболочки кишечной палочки'],['Средства от геморроя'],['Постеризан'],['Dr. Kade GmbH/ Д-р Каде Гмбх'],['Германия'],['Мазь для наружного применения'],['Без рецепта'],['Не выше 25 С'],['Компоненты клеточной оболочки кишечной палочки'],['330мг'],['Противогеморроидальные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418_2022-12-28,Симеотик капсулы 40мг №50,2022-12-28,"['Диспепсия', 'Другие и неуточненные боли в области живота', 'Метеоризм и родственные состояния', 'Токсическое действие мыл и детергентов', 'Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках']",['Симетикон'],[],['Симеотик'],"['УП ""Минскинтеркапс""']",['Беларусь'],['Капсулы для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Симетикон'],['40мг'],['Средства при метеоризме'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419_2022-12-28,Адиарин Пробио капли флакон 8г,2022-12-28,['Кишечные инфекции'],['Лиофилизированные штаммы лактобацилл'],['Профилактика простуды и гриппа'],['Адиарин Пробио'],['Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий'],['Швейцария'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Лиофилизированные штаммы лактобацилл'],['109КОЕ'],['Регуляторы кишечной микрофлоры'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420_2022-12-28,Холосас сироп флакон 140г (95мл),2022-12-28,"['Холецистит', 'Хронический гепатит, не классифицированный в других рубриках', 'Острый холецистит', 'Хронический холецистит']",['Шиповника плодов экстракт'],[],['Холосас'],"['ЗАО ""Алтайвитамины""']",['Россия'],['Сироп для приема внутрь'],['Без рецепта'],['8-15 С'],['Шиповника плодов экстракт'],['40г'],['Желчегонные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421_2022-12-28,Бускопан суппозитории ректальные 10мг №10,2022-12-28,"['Холецистит', 'Синдром раздраженного кишечника', 'Язва желудка', 'Язва двенадцатиперстной кишки', 'Пептическая язва неуточненной локализации']",['Гиосцина бутилбромид'],['Болит живот'],['Бускопан'],['Boehringer Ingelheim GmbH/ Берингер Ингельхайм'],['Италия'],['Суппозитории ректальные'],['Без рецепта'],['Не выше 25 С'],['Гиосцина бутилбромид'],['10мг'],['Миотропные спазмолитики'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422_2022-12-28,Ребамипид таблетки 100мг №30,2022-12-28,"['Язва желудка', 'Пептическая язва неуточненной локализации', 'Гастрит и дуоденит']",['Ребамипид'],[],['Ребамипид'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Ребамипид'],['100мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423_2022-12-28,Везикар таблетки 10мг №30,2022-12-28,"['Другие уточненные поражения мочевого пузыря', 'Другие уточненные виды недержания мочи', 'Недержание мочи неуточненное']",['Солифенацин'],['Болит живот'],['Везикар'],['Astellas Pharma Europe B.D./ Астеллас'],['Нидерланды'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Солифенацин'],['10мг'],['Прочие средства в урологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424_2022-12-28,Вазелиновое масло флакон 25мл,2022-12-28,['Запор'],['Парафин жидкий'],['Домашняя аптечка'],['Вазелиновое масло'],"['ЗАО ""Ярославская ФФ""']",['Россия'],['Масло для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Парафин жидкий'],['Отсутствует'],['Слабительные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425_2022-12-28,Энтобан капсулы №20,2022-12-28,['Функциональная диарея'],"['Экстракт коры голаррены', 'Экстракт плодов мирта обыкновенного', 'Экстракт плодов барбариса', 'Экстракт плодов айвы бенгальской', 'Экстракт плодов дуба', 'Экстракт плодов бутеи великолепной']",[],['Энтобан'],['Herbion Pakistan Pvt.Ltd./ Хербион Пакистан'],['Пакистан'],['Капсулы для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Экстракт коры голаррены+Экстракт плодов мирта обыкновенного+Экстракт плодов барбариса+Экстракт плодов айвы бенгальской+Экстракт плодов дуба+Экстракт плодов бутеи великолепной'],['131мг+131мг+32мг+32мг+32мг+42мг'],['Средства при диарее'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426_2022-12-28,Соликса-Ксантис таблетки 10мг №30,2022-12-28,"['Другие уточненные поражения мочевого пузыря', 'Другие уточненные виды недержания мочи', 'Недержание мочи неуточненное']",['Солифенацин'],[],['Соликса-Ксантис'],['Sun Pharmaсeutical Industries Ltd./Санека Фармасьютикал Индастриз ЛТД'],['Словакия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Солифенацин'],['10мг'],['Прочие средства в урологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427_2022-12-28,Нифурател таблетки 200мг №20,2022-12-28,"['Цистит', 'Трихомониаз', 'Амебиаз', 'Жиардиаз [лямблиоз]', 'Хламидийные инфекции нижних отделов мочеполового тракта']",['Нифурател'],[],['Нифурател'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нифурател'],['200мг'],['Противопротозойные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428_2022-12-28,Пилобакт АМ набор комбинированный таблетки и капсулы №56,2022-12-28,"['Язва желудка', 'Язва двенадцатиперстной кишки']","['Амоксициллин', 'Кларитромицин', 'Омепразол']",[],['Пилобакт'],['Ranbaxy Lab. Ltd/ Ранбакси'],['Индия'],['Набор таблеток и капсулы'],['Рецептурный'],['Не выше 25 С'],['Амоксициллин+Кларитромицин+Омепразол'],['500мг+500мг+20мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429_2022-12-28,Ланцид капсулы 30мг №30,2022-12-28,"['Эзофагит', 'Другие уточненные нарушения внутренней секреции поджелудочной железы', 'Гастроэзофагеальный рефлюкс с эзофагитом', 'Язва желудка', 'Язва двенадцатиперстной кишки']",['Лансопразол'],[],['Ланцид'],['Micro Labs Ltd./ Микро Лабс Лимитед'],['Индия'],['Капсулы для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Лансопразол'],['30мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430_2022-12-28,Тиотриазолин раствор для инъекций 25мг/мл ампулы 4мл №10,2022-12-28,"['Хронический вирусный гепатит B без дельта-агента', 'Хронический вирусный гепатит C', 'Алкогольная болезнь печени', 'Токсическое поражение печени', 'Хронический гепатит, не классифицированный в других рубриках']",['Тиотриазолин'],['Лекарства для печени'],['Тиотриазолин'],"['АО ""ГаличФарм""']",['Украина'],['Раствор для инъекций'],['Рецептурный'],['15-25 С'],['Тиотриазолин'],['25мг/мл'],['Гепатопротекторы'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431_2022-12-28,Эс-Фос раствор для инъекций 50мг/мл ампулы 5мл №5,2022-12-28,"['Псориаз', 'Острый гепатит A', 'Острый гепатит B', 'Острый гепатит C', 'Хронический вирусный гепатит']",['Эссенциальные фосфолипиды'],['Лекарства для печени'],['Эс-Фос'],"['ООО ""Велфарм""']",['Россия'],['Раствор для инъекций'],['Рецептурный'],['2-8 С'],['Эссенциальные фосфолипиды'],['50мг/мл'],['Гепатопротекторы'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432_2022-12-28,Проктонис крем 30мл,2022-12-28,['Геморрой'],['Комплекс растительных экстрактов'],['Средства от геморроя'],['Проктонис'],"['ООО ""ВИС""/ ООО ""Риа-Панда""']",['Россия'],['Крем для наружного применения'],['Без рецепта'],['Не выше 25 С'],['Комплекс растительных экстрактов'],['Отсутствует'],['Противогеморроидальные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433_2022-12-28,Релифипин гель для ректального применения 20г,2022-12-28,"['Трещина и свищ области заднего прохода и прямой кишки', 'Геморрой и перианальный венозный тромбоз']","['Лидокаин', 'Нифедипин']",[],['Релифипин'],['C.P.M. Contract Pharma GMBH & Co./Ц.П.М. Контракт Фарма ГмбХ'],['Германия'],['Гель для ректального применения'],['Рецептурный'],['Не выше 25 С'],['Лидокаин+Нифедипин'],['20мг+3мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434_2022-12-28,Гимекромон таблетки 200мг №50,2022-12-28,"['Запор', 'Холецистит', 'Тошнота и рвота']",['Гимекромон'],[],['Гимекромон'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Гимекромон'],['200мг'],['Миотропные спазмолитики'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435_2022-12-28,Итоприд таблетки 50мг №40,2022-12-28,"['Анорексия', 'Изжога', 'Тошнота и рвота', 'Гастрит и дуоденит', 'Диспепсия']",['Итоприд'],[],['Итомед'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Итоприд'],['50мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436_2022-12-28,Салофальк таблетки 500мг №50,2022-12-28,"['Болезнь Крона [регионарный энтерит]', 'Язвенный колит']",['Месалазин'],[],['Салофальк'],['Dr. Falk Pharma GmbH/ Доктор Фальк Фарма'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Месалазин'],['500мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437_2022-12-28,Итоприд таб. 50мг №100,2022-12-28,"['Анорексия', 'Изжога', 'Тошнота и рвота', 'Гастрит и дуоденит', 'Диспепсия']",['Итоприд'],[],['Итомед'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Итоприд'],['50мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438_2022-12-28,Тиотриазолин таблетки 200мг №60,2022-12-28,['Ишемическая болезнь сердца'],['Тиотриазолин'],['Лекарства для печени'],['Тиотриазолин'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Тиотриазолин'],['200мг'],['Гепатопротекторы'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439_2022-12-28,Сенна+ таблетки №40,2022-12-28,[],['Сеннозиды'],['слабительные средства'],['Сенна таб'],"['ООО ""Грин Сайд""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Сеннозиды'],['50мг'],['Слабительные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440_2022-12-28,Салофальк таблетки 500мг №100,2022-12-28,[],['Месалазин'],[],['Салофальк'],['Dr. Falk Pharma GmbH/ Доктор Фальк Фарма'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Месалазин'],['500мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441_2022-12-28,Гепа-мерц концентрат для приготовления раствора для инфузий 5г ампулы 10мл №10,2022-12-28,"['Острый гепатит B', 'Острый гепатит C', 'Хронический вирусный гепатит B без дельта-агента', 'Хронический вирусный гепатит C', 'Белково-энергетическая недостаточность неуточненная']",['Орнитин'],['Лекарства для печени'],['Гепа-Мерц'],['Merz Pharma GmbH/ Мерц'],['Германия'],['Концентрат для приготовления раствора для инфузий'],['Рецептурный'],['Не выше 25 С'],['Орнитин'],['5000мг'],['Гепатопротекторы'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442_2022-12-28,Слабилен таблетки 5мг №50,2022-12-28,"['Запор', 'Трещина и свищ области заднего прохода и прямой кишки', 'Другие уточненные болезни заднего прохода и прямой кишки', 'Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках', 'Геморрой и перианальный венозный тромбоз']",['Натрия пикосульфат'],[],['Слабилен'],"['ОАО ""Верофарм""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Натрия пикосульфат'],['5мг'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443_2022-12-28,Эзиклен концентрат для приготовления раствора для приема внутрь флакон 176мл №2,2022-12-28,"['Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках']","['Магния сульфат', 'Натрия сульфат', 'Калия сульфат']",['Домашняя аптечка'],['Эзиклен'],['Ipsen Pharma Beaufour/ Ипсен Фарма'],['Франция'],['Раствор для приема внутрь'],['Без рецепта'],['Не выше 30 С'],['Калия сульфат+Магния сульфат+Натрия сульфат'],['3.13г+3.276г+17.51г'],['Слабительные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444_2022-12-28,Ланцид Кит набор таблетки и капсулы №56,2022-12-28,"['Язва желудка', 'Язва двенадцатиперстной кишки', 'Пептическая язва неуточненной локализации']","['Амоксициллин', 'Кларитромицин', 'Лансопразол']",[],['Ланцид'],['Micro Labs Ltd./ Микро Лабс Лимитед'],['Индия'],['Набор таблеток и капсулы'],['Рецептурный'],['Не выше 25 С'],['Кларитромицин+Лансопразол+Амоксициллин'],['500мг+30мг+500мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445_2022-12-28,Гутафлос капли флакон 30мл,2022-12-28,"['Запор', 'Трещина заднего прохода неуточненная', 'Другие уточненные болезни заднего прохода и прямой кишки', 'Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках', 'Геморрой и перианальный венозный тромбоз']",['Натрия пикосульфат'],[],['Гутафлос'],"['ООО ""Тульская ФФ""']",['Россия'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Натрия пикосульфат'],['7.5мг/мл'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446_2022-12-28,Лаеннек раствор для инъекций ампулы 2мл №10,2022-12-28,"['Аногенитальная герпетическая вирусная инфекция [herpes simplex]', 'Инфекции, вызванные вирусом герпеса [herpes simplex]', 'Алкогольная болезнь печени', 'Токсическое поражение печени', 'Хронический гепатит, не классифицированный в других рубриках']",['Гидролизат плаценты человека'],['Лекарства для печени'],['Лаеннек'],"['JAPAN BIOPRODUCTS INDUSTRY, Co. Ltd.']",['Япония'],['Раствор для инъекций'],['Рецептурный'],['15-25 С'],['Гидролизат плаценты человека'],['56мг/мл'],['Гепатопротекторы'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447_2022-12-28,ТрэвелДрим браслет для детей №2 0720,2022-12-28,"['Головокружение и нарушение устойчивости', 'Тошнота и рвота']",[],['Аптечка путешественника'],['Трэвел Дрим'],"['ООО ""Зелдис""']",['Россия'],[],[],['Обычный'],[],[''],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448_2022-12-28,Гутафлос капли флакон 15мл,2022-12-28,"['Запор', 'Трещина заднего прохода неуточненная', 'Другие уточненные болезни заднего прохода и прямой кишки', 'Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках', 'Геморрой и перианальный венозный тромбоз']",['Натрия пикосульфат'],[],['Гутафлос'],"['ООО ""Тульская ФФ""']",['Россия'],['Капли для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Натрия пикосульфат'],['7.5мг/мл'],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449_2022-12-28,Омез капсулы 20мг №30,2022-12-28,"['Изжога', 'Новообразование неопределенного или неизвестного характера более чем одной эндокринной железы', 'Другие уточненные нарушения внутренней секреции поджелудочной железы', 'Синдром Мендельсона', 'Гастроэзофагеальный рефлюкс']",['Омепразол'],['Сегодня покупают'],['Омез'],['Lab.Liconsa/Ликонса Лаб.'],['Испания'],['Капсулы для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Омепразол'],['20мг'],['Противоязвенные средства'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450_2022-12-28,Уголь биоактивированный таблетки №60,2022-12-28,[],"['Уголь активированный', 'Целлюлоза микрокристаллическая (МКЦ)']","['Энтеросорбенты', 'домашняя аптечка']",['Уголь активированный'],"['ООО ""Биотерра""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Уголь активированный+Целлюлоза микрокристаллическая (МКЦ)'],['107.5мг+142.5мг'],['Энтеросорбенты'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
