name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа
Периндоприл-Тева таблетки 10мг №30,2022-12-28,"['Инфаркт мозга', 'Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы', 'Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Периндоприл'],[],['Периндоприл'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Периндоприл'],['10мг'],['Средства снижающие давление']
Де-Криз таблетки 5мг+10мг №30,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Лизиноприл']",[],['Де-Криз'],"['АО ""Медисорб""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Лизиноприл'],['5мг+10мг'],[]
Детралекс суспензия 1000мг/10мл саше №30,2022-12-28,"['Варикозное расширение вен нижних конечностей с язвой и воспалением', 'Венозная недостаточность (хроническая) (периферическая)', 'Другие неинфекционные болезни лимфатических сосудов и лимфатических узлов', 'Отек, не классифицированный в других рубриках', 'Геморрой и перианальный венозный тромбоз']","['Гесперидин', 'Диосмин']",[],['Детралекс'],['Unither Liquid Manufacturing/ Юнитер Ликвид Мануфэкчуринг'],['Франция'],['Суспензия для приема внутрь'],['Без рецепта'],['Не выше 30 С'],['Гесперидин+Диосмин'],['100мг+900мг'],['Венотонизирующие внутренние средства']
Изосорбида мононитрат таблетки 40мг №30,2022-12-28,"['Стенокардия [грудная жаба]', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Изосорбида мононитрат'],[],['Изосорбида мононитрат'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Изосорбида мононитрат'],['40мг'],['Антиангинальные средства']
"Ко-Дальнева таблетки 5мг+1,25мг+4мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Индапамид', 'Периндоприл']",[],['Ко-Дальнева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Индапамид+Периндоприл'],['5мг+1.25мг+4мг'],['Средства снижающие давление']
Лизиноприл таблетки 20мг №20,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],[],['Лизиноприл'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['20мг'],['Средства снижающие давление']
"Адреналина гидрохлорид раствор для инъекций 0,1% ампулы 1мл №5",2022-12-28,"['Крапивница', 'Гипогликемия неуточненная', 'Предсердно-желудочковая [атриовентрикулярная] блокада и блокада левой ножки пучка Гиса', 'Нарушение проводимости неуточненное', 'Остановка сердца']",['Эпинефрин'],[],['Адреналина гидрохлорид'],"['ФГУП ""Московский эндокринный з-д""']",['Россия'],['Раствор для инъекций'],['Рецептурный'],['12-15 C'],['Эпинефрин'],['10мг/мл'],['Прочие средства в кардиологии']
Веноприм 500мг таблетки  №60,2022-12-28,[],"['Гесперидин', 'Диосмин']","['Детралекс', 'венарус']",['Веноприм'],"['ООО ""Квадрат С""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Гесперидин+Диосмин'],['50мг+450мг'],['Венотонизирующие внутренние средства']
Гопантеновая кислота-Вертекс таблетки 500мг №50,2022-12-28,"['Шизофрения', 'Болезнь Паркинсона', 'Сосудистая деменция', 'Нарушения обмена меди', 'Деменция неуточненная']",['Гопантеновая кислота'],[],['Гопантеновая кислота'],['АО «ВЕРТЕКС»'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Гопантеновая кислота'],['500мг'],['Средства улучшающие мозговое кровообращение']
"Ко-Вамлосет таблетки 5мг+160мг+12,5мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Валсартан', 'Гидрохлоротиазид']",[],['Вамлосет'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Валсартан+Гидрохлоротиазид'],['5мг+160мг+12.5мг'],['Средства снижающие давление']
Эналаприл H таблетки 10мг+25мг №20,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Эналаприл']",[],['Эналаприл Н'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл+Гидрохлоротиазид'],['10мг+25мг'],['Средства снижающие давление']
Анаприлин таблетки 10мг №50,2022-12-28,"['Мигрень', 'Гемангиома любой локализации', 'Доброкачественное новообразование надпочечника', 'Тиреотоксикоз [гипертиреоз]', 'Дисфункция гипоталамуса, не классифицированная в других рубриках']",['Пропранолол'],[],['Анаприлин'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Пропранолол'],['10мг'],['Средства снижающие давление']
Спиронолактон капсулы 100 мг №30,2022-12-28,"['Хроническая почечная недостаточность', 'Болезнь Паркинсона', 'Гипокалиемия', 'Доброкачественное новообразование надпочечника', 'Гиперальдостеронизм']",['Спиронолактон'],[],['Спиронолактон'],"['ООО ""Пранафарм""']",['Россия'],['Капсулы для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Спиронолактон'],['100мг'],['Мочегонные средства (Диуретики)']
Кардиом Таурин 500мг таблетки №30,2022-12-28,[],['Таурин'],[],['Кардиом'],"['ООО ""Квадрат С""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Таурин'],['500мг'],[]
Телмиста таблетки 40мг №28,2022-12-28,['Эссенциальная [первичная] гипертензия'],['Телмисартан'],[],['Телмиста'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан'],['40мг'],['Средства повышающие давление']
"Карведилол таблетки 6,25мг №30",2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Карведилол'],[],['Карведилол'],"['ООО ""Пранафарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Карведилол'],['6.25мг'],['Средства снижающие давление']
Кокарбоксилаза лиофилизат для приготовления раствора для инъекций 50мг ампулы 2мл №5,2022-12-28,"['Хроническая почечная недостаточность', 'Инсулинзависимый сахарный диабет с комой', 'Инсулинзависимый сахарный диабет с кетоацидозом', 'Инсулиннезависимый сахарный диабет с комой', 'Инсулиннезависимый сахарный диабет с кетоацидозом']",['Кокарбоксилаза'],[],['Кокарбоксилаза'],"['ООО ""Деко Компания""']",['Россия'],['Лиофилизат для приготовления раствора для инъекций'],['Рецептурный'],['Не выше 20 С'],['Кокарбоксилаза'],['50мг'],['Прочие средства в кардиологии']
"Ко-Перинева таблетки 1,25мг+4мг №90",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']",[],['Ко-Перинева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['1.25мг+4мг'],['Средства снижающие давление']
Тримектал МВ таблетки 35мг №120,2022-12-28,"['Ишемическая болезнь сердца', 'Головокружение и нарушение устойчивости', 'Стенокардия [грудная жаба]']",['Триметазидин'],[],['Тримектал'],['АО «ВЕРТЕКС»'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Триметазидин'],['35мг'],['Прочие средства в кардиологии']
Амлодипин-Периндоприл таблетки 10мг+10мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]']","['Амлодипин', 'Периндоприл']",[],['Амлодипин-Периндоприл'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Периндоприл'],['10мг+10мг'],[]
"Ко-Дальнева таблетки 10мг+2,5мг+8мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Индапамид', 'Периндоприл']",[],['Ко-Дальнева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Индапамид+Периндоприл'],['10мг+2.5мг+8мг'],['Средства снижающие давление']
Анаприлин таблетки 10мг №50 Биосинтез,2022-12-28,"['Мигрень', 'Гемангиома любой локализации', 'Доброкачественное новообразование надпочечника', 'Тиреотоксикоз [гипертиреоз]', 'Дисфункция гипоталамуса, не классифицированная в других рубриках']",['Пропранолол'],[],['Анаприлин'],"['ПАО ""Биосинтез""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Пропранолол'],['10мг'],['Средства снижающие давление']
Лортенза таблетки 5мг+50мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Вторичная гипертензия']","['Амлодипин', 'Лозартан']",[],['Лортенза'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Лозартан'],['5мг+50мг'],['Средства снижающие давление']
Фозикард таблетки 5мг №28,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Фозиноприл'],[],['Фозикард'],['Actavis Group/Актавис'],['Исландия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Фозиноприл'],['5мг'],['Средства снижающие давление']
Фелодип таблетки 5мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Стенокардия с документально подтвержденным спазмом']",['Фелодипин'],[],['Фелодип'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Чехия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Фелодипин'],['5мг'],['Средства снижающие давление']
"Энап HL таблетки 20мг+12,5мг №20",2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']","['Гидрохлоротиазид', 'Эналаприл']",[],['Энап НL'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл+Гидрохлоротиазид'],['20мг+12.5мг'],['Средства снижающие давление']
"Ко-Перинева таблетки 2,5мг+8мг №90",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']",[],['Ко-Перинева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['2.5мг+8мг'],['Средства снижающие давление']
"Периндоприл Плюс таблетки 2,5мг+8мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']",[],['Периндоприл Плюс'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['2.5мг+8мг'],['Средства снижающие давление']
Периндоприл-Тева таблетки 5мг №30,2022-12-28,"['Инфаркт мозга', 'Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы', 'Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Периндоприл'],[],['Периндоприл'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Обычный'],['Периндоприл'],['5мг'],['Средства снижающие давление']
Масло зародышей пшеницы капсулы №100,2022-12-28,[],"['Токоферол', 'Экстракт зародышей пшеницы']",[],['Масло зародышей пшеницы'],"['ООО ""Мирролла""']",['Россия'],['Капсулы для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Экстракт зародышей пшеницы+Токоферол'],['Отсутствует'],[]
Нотроцетам раствор для инъекций 20%  ампулы 5мл №10,2022-12-28,"['Сосудистая деменция', 'Болезнь Альцгеймера', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга']",['Пирацетам'],[],['Пирацетам'],"['ООО ""Велфарм""']",['Беларусь'],['Раствор для инъекций'],['Рецептурный'],['Не выше 25 С'],['Пирацетам'],['200мг/мл'],['Средства улучшающие мозговое кровообращение']
Дальнева таблетки 5мг+4мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]']","['Амлодипин', 'Периндоприл']",[],['Дальнева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Периндоприл'],['5мг+4мг'],['Средства снижающие давление']
"Ко-Вамлосет таблетки 10мг+160мг+12,5мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Амлодипин', 'Валсартан', 'Гидрохлоротиазид']",[],['Вамлосет'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Валсартан+Гидрохлоротиазид'],['10мг+160мг+12.5мг'],['Средства снижающие давление']
Элькар раствор для приема внутрь 30% флакон 25мл,2022-12-28,"['Недостаточность других уточненных элементов питания', 'Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга', 'Нервная анорексия', 'Митохондриальная миопатия, не классифицированная в других рубриках', 'Другие уточненные миопатии']",['Левокарнитин'],[],['Элькар'],"['ООО ""Пик-Фарма Про""']",['Россия'],['Раствор для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Левокарнитин'],['300мг/мл'],['Моновитамины']
Вальсакор НД таблетки 160мг+25мг №30,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Валсартан', 'Гидрохлоротиазид']",[],['Вальсакор Н'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Валсартан+Гидрохлоротиазид'],['160мг+25мг'],['Средства снижающие давление']
Проспекта таблетки для рассасывания №100,2022-12-28,"['Органическое эмоционально лабильное [астеническое] расстройство', 'Легкое когнитивное расстройство', 'Нарушение активности и внимания', 'Последствия инсульта, не уточненные как кровоизлияние или инфаркт мозга']",['Антитела к мозгоспецифическому белку S-100 аффинно очищенные'],[],['Проспекта'],"['ООО ""Материа Медика Холдинг НПФ""']",['Россия'],['Таблетки для рассасывания'],['Рецептурный'],['Не выше 25 С'],['Антитела к мозгоспецифическому белку S-100 аффинно очищенные'],['Отсутствует'],[]
Церепро капсулы 400мг №28,2022-12-28,"['Сосудистая деменция', 'Инфаркт мозга', 'Внутричерепная травма']",['Холина альфосцерат'],"['Таблетки для  памяти', 'Для памяти']",['Церепро'],"['ОАО ""Верофарм""']",['Россия'],['Капсулы для приема внутрь'],['Рецептурный'],['Не выше 25 С'],['Холина альфосцерат'],['400мг'],['Средства улучшающие мозговое кровообращение']
"Лориста Н таблетки 100мг+12,5мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Лозартан']",[],['Лориста Н'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Лозартан+Гидрохлоротиазид'],['100мг+12.5мг'],['Средства снижающие давление']
"Ордисс Н таблетки 12,5мг+16мг №30",2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']","['Гидрохлоротиазид', 'Кандесартан']",[],['Ордисс Н'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Израиль'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Гидрохлоротиазид+Кандесартан'],['12.5мг+16мг'],['Средства снижающие давление']
Телмиста таблетки 80мг №84,2022-12-28,['Эссенциальная [первичная] гипертензия'],['Телмисартан'],[],['Телмиста'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан'],['80мг'],['Средства повышающие давление']
"Эналаприл НЛ таблетки 20мг+12,5мг №20",2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']","['Гидрохлоротиазид', 'Эналаприл']",[],['Эналаприл НЛ'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Эналаприл+Гидрохлоротиазид'],['20мг+12.5мг'],['Средства снижающие давление']
Атероклефит Био капсулы №60,2022-12-28,['Атеросклероз'],"['Аскорбиновая кислота', 'Боярышника плодов эк-т', 'Клевера эк-т', 'Рутин (рутозид)', 'Ниацин (В3)', 'Экстракт диоскореи']",[],['Эвалар'],"['ЗАО ""Эвалар""']",['Россия'],['Капсулы для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Экстракт диоскореи+Клевера эк-т+Боярышника плодов эк-т+Рутин (рутозид)+Аскорбиновая кислота+Ниацин (В3)'],['600мг+140мг+20мг+8мг+140мг+40мг'],['Комплексы витаминов']
Кандесартан-СЗ таблетки 32мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Кандесартан'],[],['Кандесартан'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Кандесартан'],['32мг'],['Средства снижающие давление']
Рамиприл таблетки 10мг №30,2022-12-28,"['Инфаркт мозга', 'Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность', 'Другие болезни периферических сосудов', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Рамиприл'],[],['Рамиприл'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Рамиприл'],['10мг'],['Средства снижающие давление']
Телмиста таблетки 40мг №84,2022-12-28,['Эссенциальная [первичная] гипертензия'],['Телмисартан'],[],['Телмиста'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан'],['40мг'],['Средства повышающие давление']
Кандесартан-СЗ таблетки 16мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Кандесартан'],[],['Кандесартан'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Кандесартан'],['16мг'],['Средства снижающие давление']
"Лозап плюс таблетки 50мг+12,5мг №60",2022-12-28,"['Инфаркт мозга', 'Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда']","['Гидрохлоротиазид', 'Лозартан']",[],['Лозап Плюс'],['Zentiva/ Зентива'],['Словакия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Лозартан+Гидрохлоротиазид'],['50мг+12.5мг'],['Средства снижающие давление']
Лошадиная сила Тонизирующий гель для вен с каштаном и пиявками 500мл,2022-12-28,[],"['Каштана конского экстракт', 'Ментол', 'Эк-т пиявки', 'Хлорофилл']",[],['Лошадиная сила'],"['ООО ""Р.Косметик""']",['Россия'],['Гель для наружного применения'],[],['Не выше 25 С'],['Ментол+Каштана конского экстракт+Эк-т пиявки+Хлорофилл'],[''],[]
Винпоцетин таблетки 10мг №30,2022-12-28,"['Сосудистая деменция', 'Головокружение и нарушение устойчивости', 'Инфаркт мозга', 'Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга', 'Соматоформная дисфункция вегетативной нервной системы']",['Винпоцетин'],[],['Винпоцетин таблетки'],"['ООО ""Велфарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Винпоцетин'],['10мг'],[]
"Периндоприл Плюс индапамид таблетки 0,625мг+2мг №30",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Индапамид', 'Периндоприл']",[],['Периндоприл Плюс'],"['ООО ""Изварино Фарма""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Индапамид+Периндоприл'],['0.625мг+2мг'],['Средства снижающие давление']
Телпрес плюс таблетки 80мг+25мг №28,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Телмисартан']",[],['Телпрес'],['Lab.Liconsa/Ликонса Лаб.'],['Испания'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан+Гидрохлоротиазид'],['80мг+25мг'],['Средства снижающие давление']
Триампур композитум таблетки №50,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность', 'Венозная недостаточность (хроническая) (периферическая)', 'Фиброз и цирроз печени', 'Нефротический синдром']","['Гидрохлоротиазид', 'Триамтерен']",[],['Триампур комозитум'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Хорватия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Триамтерен+Гидрохлоротиазид'],['25мг+12.5мг'],['Мочегонные средства (Диуретики)']
Лапоритмин таблетки 25мг №30,2022-12-28,"['Синдром преждевременного возбуждения', 'Наджелудочковая тахикардия', 'Желудочковая тахикардия', 'Фибрилляция и трепетание предсердий', 'Другая и неуточненная преждевременная деполяризация']",['Лаппаконитина гидробромид'],[],['Лапоритмин'],"['ООО НПО ""ФармВилар""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лаппаконитина гидробромид'],['25мг'],[]
Эдарби таблетки 80мг №28,2022-12-28,['Эссенциальная [первичная] гипертензия'],['Азилсартана медоксомил'],[],['Эдарби'],"['ООО ""Такеда Фармасьютикалс""']",['Япония'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Азилсартана медоксомил'],['80мг'],['Средства снижающие давление']
"Телмиста Н таблетки 40мг+12,5мг №28",2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Телмисартан']",[],['Телмиста'],['KRKA d.d./ КРКА'],['Словения'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Телмисартан+Гидрохлоротиазид'],['40мг+12.5мг'],['Средства повышающие давление']
Дальнева таблетки 10мг+8мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]']","['Амлодипин', 'Периндоприл']",[],['Дальнева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Периндоприл'],['10мг+8мг'],['Средства снижающие давление']
Каптоприл+Гидрохлоротиазид таблетки 50мг+25мг №30,2022-12-28,['Эссенциальная [первичная] гипертензия'],"['Гидрохлоротиазид', 'Каптоприл']",[],['Каптоприл+Гидрохлоротиазид'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Каптоприл+Гидрохлоротиазид'],['50мг+25мг'],['Средства снижающие давление']
Тримектал ОД таблетки 80мг №60,2022-12-28,['Стенокардия [грудная жаба]'],['Триметазидин'],[],['Тримектал'],['АО «ВЕРТЕКС»'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Триметазидин'],['80мг'],[]
Троксерутин Вертекс капсулы 300мг №100,2022-12-28,"['Флебит и тромбофлебит поверхностных сосудов нижних конечностей', 'Варикозное расширение вен нижних конечностей', 'Венозная недостаточность (хроническая) (периферическая)', 'Поверхностная травма неуточненной области тела', 'Вывих, растяжение и перенапряжение капсульно-связочного аппаратата сустава неуточненной области тела']",['Троксерутин'],[],['Троксерутин'],['АО «ВЕРТЕКС»'],['Россия'],['Капсулы для приема внутрь'],['Без рецепта'],['Не выше 25 С'],['Троксерутин'],['300мг'],['Венотонизирующие внутренние средства']
Фелодипин таблетки 5мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]']",['Фелодипин'],[],['Фелодипин'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Фелодипин'],['5мг'],['Средства снижающие давление']
Дальнева таблетки 5мг+8мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]']","['Амлодипин', 'Периндоприл']",[],['Дальнева'],['KRKA d.d./ КРКА'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Периндоприл'],['5мг+8мг'],['Средства снижающие давление']
Кандесартан таблетки 8мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Кандесартан'],[],['Кандесартан'],['АО «ВЕРТЕКС»'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Кандесартан'],['8мг'],[]
Торасемид таблетки 10мг №60,2022-12-28,"['Хроническая почечная недостаточность', 'Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность', 'Фиброз и цирроз печени', 'Хронический нефритический синдром']",['Торасемид'],[],['Торасемид'],"['ЗАО ""Фармпроект""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Торасемид'],['10мг'],['Мочегонные средства (Диуретики)']
Глицин форте 500мг со вкусом Вишни таблетки №30,2022-12-28,"['Неврастения', 'Нарушение сна неуточненное', 'Переутомление', 'Стрессовое состояние, не классифицированное в других рубриках']",['Глицин'],[],['Глицин форте'],"['ООО ""Квадрат С""']",['Россия'],['Таблетки'],['Без рецепта'],['Не выше 25 С'],['Глицин'],['500мг'],[]
"Дигоксин таблетки 0,25мг №30",2022-12-28,"['Наджелудочковая тахикардия', 'Фибрилляция и трепетание предсердий', 'Застойная сердечная недостаточность']",['Дигоксин'],[],['Дигоксин'],"['ОАО ""Усолье-Сибирский ХФЗ""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Дигоксин'],['0.25мг'],['Кардиотонические средства']
Коринфар таблетки 10мг №100,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Стенокардия с документально подтвержденным спазмом', 'Другие формы стенокардии']",['Нифедипин'],[],['Коринфар'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Нифедипин'],['10мг'],['Средства снижающие давление']
Лотонел таблетки 10мг №60,2022-12-28,"['Хроническая почечная недостаточность', 'Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность', 'Фиброз и цирроз печени', 'Хронический нефритический синдром']",['Торасемид'],[],['Лотонел'],['АО «ВЕРТЕКС»'],['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Торасемид'],['10мг'],['Мочегонные средства (Диуретики)']
Корментол капсулы подъязычные 100мг №15,2022-12-28,[],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Корментол'],['S.C. Biofarm S.A./ Биофарм'],['Румыния'],['Капсулы подъязычные'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['100мг'],['Прочие средства в кардиологии']
Амлодипин-Периндоприл таблетки 5мг+10мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]']","['Амлодипин', 'Периндоприл']",[],['Амлодипин-Периндоприл'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин+Периндоприл'],['5мг+10мг'],[]
Лерканидипин-СЗ таблетки 10мг №30,2022-12-28,['Эссенциальная [первичная] гипертензия'],['Лерканидипин'],[],['Лерканидипин'],"['ЗАО ""Северная Звезда""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лерканидипин'],['10мг'],['Средства повышающие давление']
